,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
4173371,2009-04-02 18:05:23.0000002,4.5,2009-04-02 18:05:23 UTC,-73.98644300000001,40.742323999999996,-73.97891,40.751868,1
27089190,2012-01-11 21:24:00.00000083,4.9,2012-01-11 21:24:00 UTC,-73.971187,40.76186,-73.957532,40.770272,1
35562355,2011-04-29 07:08:00.00000032,49.8,2011-04-29 07:08:00 UTC,-73.981512,40.78034,-73.785602,40.643153000000005,1
45816638,2009-07-28 01:04:17.0000002,5.3,2009-07-28 01:04:17 UTC,-73.98572,40.763791,-73.971801,40.755105,1
21768376,2013-08-05 11:25:13.0000001,17.0,2013-08-05 11:25:13 UTC,-74.01490799999999,40.709413,-73.99557,40.723334,2
3916599,2011-09-02 12:24:34.0000005,11.7,2011-09-02 12:24:34 UTC,-73.954011,40.766189000000004,-73.989227,40.750141,1
9249198,2011-12-23 07:00:00.00000012,14.5,2011-12-23 07:00:00 UTC,-73.9559,40.819277,-73.963792,40.771196999999994,1
46585145,2013-02-25 05:59:59.0000001,34.3,2013-02-25 05:59:59 UTC,-73.970609,40.752434,-73.865204,40.770544,1
18991185,2011-03-01 13:43:36.0000001,10.9,2011-03-01 13:43:36 UTC,-73.952067,40.773083,-73.978319,40.737429999999996,1
45148583,2012-02-24 17:19:00.000000155,5.7,2012-02-24 17:19:00 UTC,-73.971748,40.787279999999996,-73.98439,40.78024,1
33720071,2010-07-16 18:32:38.0000001,4.1,2010-07-16 18:32:38 UTC,-74.01005500000001,40.709976,-74.009096,40.712944,1
49753452,2011-08-02 22:14:00.00000098,6.5,2011-08-02 22:14:00 UTC,-73.971678,40.755829999999996,-73.95276199999999,40.78054,3
8582316,2013-03-13 19:44:00.000000196,6.5,2013-03-13 19:44:00 UTC,-74.007595,40.743177,-73.995228,40.749812,2
34542626,2014-09-04 09:10:00.000000151,6.0,2014-09-04 09:10:00 UTC,-73.990842,40.750535,-73.983902,40.751405,3
47615214,2011-09-30 19:22:12.0000001,4.9,2011-09-30 19:22:12 UTC,-73.9512,40.77,-73.9553,40.7796,1
48730195,2011-08-17 23:23:00.0000006,6.5,2011-08-17 23:23:00 UTC,-74.00291,40.739175,-73.982848,40.739053000000006,2
32140030,2009-02-09 16:53:00.00000039,8.1,2009-02-09 16:53:00 UTC,-73.978408,40.756712,-74.005585,40.748293,1
